No,Date Received,,Date Responded,,Extended,Date Time Extension was communicated,Days,Outcome
,,,,,Yes/No,,extended,
74.    ,"Tuesday, 18 April 2017",7:33pm,"Wednesday, 19 April 2017",10:57am,,,,Transferred in full
75.    ,"Wednesday, 26 April 2017",3:55pm,"Monday, 1 May 2017",2:24pm,,,,Withheld in full
76.    ,"Monday, 1 May 2017",5:30pm,"Tuesday, 2 May 2017",1:16pm,,,,Transfer in full
77.    ,"Thursday, 4 May 2017",Post,"Thursday, 11 May 2017",11:07am,,,,Released in full
78.    ,"Friday, 5 May 2017",3:52pm,"Tuesday, 27 June 2017",3:05pm,Yes,"Thursday, 1 June 2017",17,Released in part
79.    ,"Thursday, 11 May 2017",8:51am,"Monday, 15 May 2017",1:09pm,,,,Declined in full
80.    ,"Monday, 22 May 2017",12:48pm,"Thursday, 25 May 2017",1:08pm,,,,Declined in full
81.    ,"Monday, 22 May 2017",1:06pm,"Wednesday, 21 June 2017",8:04pm,Yes,"Tuesday, 20 June 2017",2,Released in full
82.    ,"Wednesday, 24 May 2017",9:07am,"Tuesday, 6 June 2017",11:25am,,,,Released in full
83.    ,"Friday, 2 June 2017",9:44am,"Thursday, 15 June 2017",3:15pm,,,,Transferred in full
84.    ,"Friday, 2 June 2017",2:03pm,"Tuesday, 27 June 2017",10:16am,,,,Released in full
85.    ,"Tuesday, 6 June 2017",10:58am,"Tuesday, 27 June 2017",3:25pm,,,,Released in full
86.    ,"Wednesday, 10 August 2016",Post,"Wednesday, 7 September 2016",Post,,,,Released in full
87.    ,"Monday, 25 July 2016",Post,"Friday, 19 August 2016",Post,,,,Released in full
88.    ,"Monday, 1 August 2016",4:46pm,"Tuesday, 9 August 2016",Not Held,,,,Released in part
89.    ,"Friday, 12 August 2016",2:56pm,"Friday, 19 August 2016",3:31pm,,,,Released in part
90.    ,"Wednesday, 14 June 2017",2:49pm,"Tuesday, 4 July 2017",10:44am,,,,Released in full
91.    ,"Friday, 23 June 2017",10:52pm,"Thursday, 6 July 2017",10:45am,,,,Released in part
92.    ,"Thursday, 29 June 2017",2:56pm,"Wednesday, 26 July 2017",8:19am,,,,Released in part
93.    ,"Tuesday, 13 June 2017",12:41pm,"Friday, 28 July 2017",1:59pm,Yes,"Friday, 7 July 2017",14,Released in part
94.    ,"Friday, 9 June 2017",10:12am,"Tuesday, 25 July 2017",10:53am,Yes,"Thursday, 6 July 2017",13,Released in part
95.    ,"Monday, 19 June 2017",11:00am,"Friday, 28 July 2017",2:01pm,Yes,"Wednesday, 12 July 2017",10,Released in part
96.    ,"Friday, 30 June 2017",2:26pm,"Tuesday, 11 July 2017",2:18pm,,,,Withheld in full
