"All requests for information made to the Ministry that were logged as Official Information requests for the period from 1 July 2017 to 30 December 2017, including the date received, date response was sent and the date the response was extended to if applicable.",,,,,,
,,,,,,
Number,Date Received,Date Due to Requestor,Extended Date Due to Requestor,Date Decision Communicated,Revised due date following decision,Date response sent to Requestor
130,22/11/2017,20/12/2017,nil,20/12/2017,16/1/2018,10/1/2018
131,20/12/2017,9/2/2018,nil,nil,nil,5/2/2018
132,3/11/2017,1/12/2017,nil,nil,nil,1/12/2017
133,11/8/2017,8/9/2017,nil,nil,nil,6/9/2017
134,7/12/2017,26/1/2018,26/2/2018,nil,nil,Closed via phone call
135,3/8/2017,31/8/2017,nil,nil,nil,transferred
136,21/8/2017,18/9/2017,nil,18/9/2017,22/9/2017,25/9/2017
137,10/10/2017,8/11/2017,29/11/2017,29/11/2017,18/12/2017,15/12/2017
138,3/7/2017,31/7/2017,nil,nil,nil,28/7/2017
139,1/9/2017,29/9/2017,nil,29/9/2017,19/10/2017,26/10/2017
140,12/7/2017,9/8/2017,nil,9/8/2017,30/8/2017,18/8/2017
141,26/9/2017,25/10/2017,nil,nil,nil,24/10/2017
142,24/10/2017,21/11/2017,nil,nil,nil,30/10/2017
143,24/11/2017,22/12/2017,nil,nil,nil,22/12/2017
144,11/12/2017,30/1/2018,nil,nil,nil,22/12/2017
145,9/7/2017,4/8/2017,nil,4/8/2017,16/8/2017,9/8/2017
146,16/8/2017,13/9/2017,nil,nil,nil,26/9/2017
147,13/10/2017,13/11/2017,nil,nil,nil,18/10/2017
148,14/8/2017,11/9/2017,nil,nil,nil,25/8/2017
149,27/11/2017,16/1/2018,nil,nil,nil,22/12/2017
150,20/7/2017,17/8/2017,nil,nil,nil,29/8/2017
151,31/8/2017,31/8/2017,nil,nil,nil,7/8/2017
152,26/10/2017,23/11/2017,21/12/2017,nil,nil,Transferred
153,19/7/2017,16/8/2017,nil,9/8/2017,29/8/2017,15/12/2017
154,9/8/2017,6/9/2017,nil,6/9/2017,7/9/2017,7/9/2017
155,30/8/2017,27/9/2017,nil,27/9/2017,26/10/2017,25/10/2017
156,17/11/2017,15/12/2017,15/1/2018,nil,nil,11/1/2018
157,20/7/2017,16/8/2017,nil,nil,nil,9/8/2017
158,26/7/2017,23/8/2017,nil,nil,nil,11/8/2017
159,3/7/2017,31/7/2017,28/8/2017,31/7/2017,28/8/2017,16/8/2017
160,9/7/2017,4/8/2017,nil,nil,nil,Cancelled
161,13/12/2017,1/2/2018,nil,nil,nil,20/12/2017
162,2/10/2017,31/10/2017,nil,nil,nil,17/10/2017
163,24/7/2017,21/8/2017,nil,nil,nil,14/8/2017
164,29/8/2017,26/9/2017,nil,11/9/2017,nil,11/9/2017
165,20/7/2017,17/8/2017,7/9/2017,7/9/2017,5/10/2017,31/10/2017
166,22/9/2017,20/10/2017,nil,nil,nil,11/10/2017
167,9/8/2017,6/9/2017,nil,nil,nil,24/8/2017
168,15/9/2017,13/10/2017,nil,13/10/2017,3/11/2017,2/11/2017
169,26/7/2017,23/8/2017,11/9/2017,11/9/2017,2/10/2017,19/10/2017
170,14/8/2017,11/9/2017,nil,7/9/2017,22/9/2017,24/10/2017
171,1/9/2017,29/9/2017,nil,29/9/2017,13/10/2017,10/10/2017
172,6/9/2017,4/10/2017,nil,nil,nil,6/9/2017
173,20/11/2017,18/12/2017,7/2/2018,nil,nil,7/2/2018
174,18/10/2017,16/11/2017,nil,nil,nil,17/11/2017
175,7/8/2017,4/9/2017,nil,4/9/2017,15/9/2017,12/9/2017
176,7/7/2017,4/8/2017,1/9/2017,nil,nil,11/8/2017
177,21/11/2017,19/12/2017,nil,nil,nil,12/12/2017
178,4/10/2017,2/11/2017,30/11/2017,30/11/2017,14/12/2017,14/12/2017
179,10/11/2017,8/12/2017,nil,nil,nil,13/11/2017
180,3/11/2017,1/12/2017,21/12/2017,21/12/2017,18/1/2018,18/1/2018
181,9/10/2017,7/11/2017,21/11/2017,nil,nil,20/4/2018
182,14/8/2017,11/9/2017,nil,nil,nil,15/11/2017
183,15/9/2017,13/10/2017,7/11/2017,7/11/2017,10/11/2017,13/11/2017
184,7/10/2017,6/11/2017,4/12/2017,4/12/2017,21/12/2017,19/12/2017
185,18/10/2017,16/11/2017,nil,23/11/2017,7/12/2017,5/12/2017
186,21/8/2017,18/9/2017,nil,nil,nil,13/9/2017
187,30/8/2017,27/9/2017,nil,nil,nil,22/9/2017
188,13/11/2017,11/12/2017,22/12/2017,nil,nil,22/12/2017
189,14/8/2017,11/9/2017,nil,11/9/2017,13/9/2017,12/9/2017
190,20/7/2017,17/8/2017,nil,17/8/2017,1/9/2017,1/9/2017
191,11/8/2017,8/9/2017,6/10/2017,6/10/2017,24/11/2017,8/12/2017
192,15/11/2017,13/12/2017,nil,nil,nil,13/12/2017
193,24/7/2017,21/8/2017,nil,nil,nil,25/7/2017
194,14/7/2017,11/8/2017,nil,7/8/2017,7/9/2017,Responded to as correspondence
195,24/8/2017,21/8/2017,nil,nil,nil,Responded to as correspondence
196,28/11/2017,17/1/2018,nil,nil,nil,transferred
197,11/9/2017,9/10/2017,nil,nil,nil,29/9/2017
198,17/7/2017,14/8/2017,nil,nil,nil,transferred
199,7/9/2017,5/10/2017,nil,nil,nil,11/10/2017
200,4/10/2017,2/11/2017,nil,nil,nil,2/11/2017
201,4/10/2017,2/11/2017,nil,nil,nil,2/11/2017
202,30/11/2017,19/1/2018,nil,nil,nil,18/1/2018
