Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
20/6/2017,18/7/2017,7/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,18/7/2017,,Yes,No,No,No
21/6/2017,19/7/2017,4/7/2017,,Yes,No,No,No
21/6/2017,19/7/2017,10/7/2017,,No,No,No,No
21/6/2017,19/7/2017,6/7/2017,,Yes,No,No,No
15/6/2017,7/9/2017,7/9/2017,13/7/2017,No,No,Yes,No
21/6/2017,19/7/2017,12/7/2017,,Yes,No,No,No
21/6/2017,19/7/2017,12/7/2017,,No,No,Yes,No
21/6/2017,19/7/2017,14/7/2017,,No,No,No,Yes
21/6/2017,19/7/2017,6/7/2017,,No,No,No,Yes
21/6/2017,19/7/2017,14/7/2017,,No,No,Yes,No
21/6/2017,11/10/2017,19/7/2017,,No,No,Yes,No
21/6/2017,19/7/2017,13/7/2017,,No,No,No,No
16/6/2017,14/7/2017,5/7/2017,,No,No,No,No
20/6/2017,18/7/2017,14/7/2017,,Yes,No,No,No
21/6/2017,19/7/2017,6/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,10/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,18/7/2017,,No,No,No,No
22/6/2017,20/7/2017,12/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,6/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,19/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,18/7/2017,,No,No,No,No
20/6/2017,18/7/2017,10/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,12/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,20/7/2017,,No,No,No,No
22/6/2017,20/7/2017,7/7/2017,,Yes,No,No,No
21/6/2017,19/7/2017,17/7/2017,,No,No,No,No
21/6/2017,19/7/2017,17/7/2017,,No,No,Yes,No
22/6/2017,20/7/2017,11/7/2017,,No,No,No,No
22/6/2017,20/7/2017,7/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,18/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,18/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,18/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,11/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,17/7/2017,,Yes,No,No,No
22/6/2017,20/7/2017,20/7/2017,,No,No,No,No
22/6/2017,20/7/2017,12/7/2017,,No,No,No,No
22/6/2017,20/7/2017,17/7/2017,,No,No,No,No
22/6/2017,21/7/2017,14/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,10/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,17/7/2017,,Yes,No,No,No
22/6/2017,21/7/2017,7/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,19/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,19/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,7/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,10/7/2017,,No,No,No,Yes
23/6/2017,21/7/2017,19/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,7/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,14/7/2017,,No,No,No,Yes
23/6/2017,21/7/2017,4/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,7/7/2017,,Yes,No,No,No
23/6/2017,18/8/2017,8/8/2017,20/7/2017,Yes,No,No,No
23/6/2017,21/7/2017,18/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,6/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,7/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,7/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,24/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,24/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,7/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,17/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,18/7/2017,,Yes,No,No,No
26/6/2017,25/7/2017,11/7/2017,,No,No,No,No
26/6/2017,24/7/2017,7/7/2017,,Yes,No,No,No
22/5/2017,24/7/2017,17/7/2017,,No,No,Yes,No
26/6/2017,24/7/2017,24/7/2017,,Yes,No,No,No
26/6/2017,25/7/2017,7/7/2017,,Yes,No,No,No
26/6/2017,25/7/2017,14/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,24/7/2017,,No,No,Yes,No
26/6/2017,24/7/2017,19/7/2017,,No,No,No,Yes
27/6/2017,22/8/2017,25/7/2017,25/7/2017,No,No,Yes,No
27/6/2017,25/7/2017,25/7/2017,,No,No,Yes,No
27/6/2017,25/7/2017,7/7/2017,,Yes,No,No,No
27/6/2017,3/7/2017,3/7/2017,,Yes,No,No,No
27/6/2017,25/7/2017,17/7/2017,,Yes,No,No,No
27/6/2017,25/7/2017,10/7/2017,,Yes,No,No,No
27/6/2017,25/7/2017,20/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,11/7/2017,,No,No,Yes,No
23/6/2017,21/7/2017,12/7/2017,,Yes,No,No,No
27/6/2017,4/7/2017,3/7/2017,,No,No,No,No
23/6/2017,21/7/2017,17/7/2017,,Yes,No,No,No
27/6/2017,25/7/2017,24/7/2017,,Yes,No,No,No
27/6/2017,11/7/2017,11/7/2017,,Yes,No,No,No
27/6/2017,11/7/2017,5/7/2017,,No,No,No,No
27/6/2017,11/7/2017,5/7/2017,,Yes,No,No,No
26/6/2017,26/7/2017,14/7/2017,,Yes,No,No,No
