Official Correspondence,Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
Official Information Act,30/6/2017,28/7/2017,3/7/2017,,Yes,No,No,No
Official Information Act,30/6/2017,28/7/2017,3/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,3/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,28/7/2017,3/7/2017,,Yes,No,No,No
Official Information Act,30/6/2017,28/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,26/6/2017,24/7/2017,24/7/2017,,No,No,Yes,No
Official Information Act,2/7/2017,31/7/2017,18/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,14/7/2017,,No,No,Yes,No
Official Information Act,3/7/2017,31/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,31/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,3/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,17/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,31/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,3/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,19/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,25/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,18/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,17/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,18/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,25/7/2017,,No,No,Yes,No
Official Information Act,3/7/2017,28/8/2017,4/8/2017,27/7/2017,No,No,Yes,No
Official Information Act,3/7/2017,31/7/2017,18/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,17/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,18/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,11/7/2017,,Yes,No,No,No
Official Information Act,4/7/2017,1/8/2017,18/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,26/7/2017,24/7/2017,,Yes,No,No,No
Official Information Act,4/7/2017,1/8/2017,18/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,27/7/2017,,Yes,No,No,No
Official Information Act,4/7/2017,1/8/2017,5/7/2017,,Yes,No,No,No
Official Information Act,4/7/2017,1/8/2017,31/7/2017,,No,No,Yes,No
Official Information Act,3/7/2017,31/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,4/7/2017,1/8/2017,18/7/2017,,Yes,No,No,No
Official Information Act,5/7/2017,2/8/2017,17/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,27/7/2017,,Yes,No,No,No
Official Information Act,5/7/2017,2/8/2017,17/7/2017,,Yes,No,No,No
Official Information Act,5/7/2017,2/8/2017,5/7/2017,,Yes,No,No,No
Official Information Act,5/7/2017,2/8/2017,14/7/2017,,Yes,No,No,No
Official Information Act,5/7/2017,2/8/2017,6/7/2017,,Yes,No,No,No
