OIA request,Date received,Date replied,Due date,Comments,Extension date
354,2018-11-03,2018-11-29,2018-12-01,,
355,2018-11-03,2018-12-01,2018-12-01,,
356,2018-11-04,2018-11-30,2018-12-01,,
357,2018-11-05,2018-11-30,2018-12-01,,
358,2018-11-06,2018-11-14,2018-12-04,,
359,2018-11-06,2018-11-29,2018-12-04,,
360,2018-11-08,2018-12-01,2018-12-05,,
361,2018-11-08,2018-11-30,2018-12-06,,
362,2018-11-08,2018-11-30,2018-12-06,,
363,2018-11-08,2018-11-14,2018-12-05,,
364,2018-11-08,2018-11-21,2018-12-05,,
365,2018-11-08,2018-11-22,2018-12-06,,
366,2018-11-08,2018-11-13,2018-12-06,,
367,2018-11-09,2018-11-29,2018-12-07,,
368,2018-11-09,2018-12-05,2018-12-07,,
369,2018-11-09,2018-12-05,2018-12-07,,
370,2018-11-10,2018-12-18,2018-12-19,EXT (8 DAYS),2018-12-06
371,2018-11-11,2018-12-14,2018-12-22,EXT (10 DAYS),2017-11-21
372,2018-11-13,2018-12-05,2018-12-11,,
373,2018-11-14,2018-12-12,2018-12-12,,
374,2018-11-14,2018-12-12,2018-12-12,,
375,2018-11-14,2018-12-06,2018-12-12,,
376,2018-11-15,2018-12-05,2018-12-13,,
377,2018-11-15,2018-11-17,2018-12-13,,
378,2018-11-16,2018-12-07,2018-12-13,,
379,2018-11-16,2018-12-13,2018-12-14,,
380,2018-11-16,2018-11-30,2018-12-14,,
381,2018-11-16,2018-12-07,2018-12-14,,
382,2018-11-16,2018-12-13,2018-12-14,,
383,2018-11-17,2018-12-05,2018-12-15,,
384,2018-11-17,2018-12-15,2018-12-15,,
385,2018-11-17,2018-12-15,2018-12-15,,
386,2018-11-20,2018-12-18,2018-12-18,,
387,2018-11-20,2018-12-18,2018-12-18,,
388,2018-11-20,2018-12-18,2018-12-18,,
389,2018-11-21,2018-12-19,2018-12-19,,
390,2018-11-21,2018-12-18,2018-12-19,,
391,2018-11-22,2018-12-20,2018-12-20,,
392,2018-11-23,2018-12-18,2018-12-21,,
393,2018-11-23,2018-12-20,2018-12-21,,
394,2018-11-23,2018-12-21,2018-12-21,,
395,2018-11-23,2018-12-19,2018-12-21,,
396,2018-11-24,2018-12-21,2018-12-22,,
397,2018-11-24,2018-12-01,2018-12-22,,
398,2018-11-27,2018-12-07,2018-01-16,,
399,2018-11-28,2018-12-13,2018-01-17,,
400,2018-11-28,2018-12-01,2018-01-17,,
401,2018-11-28,2018-12-21,2018-01-17,,
402,2018-11-28,2018-12-20,2018-12-20,,
403,2018-11-28,2018-12-06,2018-01-16,,
404,2018-11-29,2018-12-21,2018-01-18,,
405,2018-12-01,2018-12-18,2018-01-19,WD,
406,2018-12-01,2018-12-22,2018-01-22,,
407,2018-12-01,2018-12-15,2018-01-22,,
408,2018-12-04,2018-12-22,2018-01-23,,
409,2018-12-04,2018-12-07,2018-01-23,,
410,2018-12-04,2018-12-22,2018-01-23,,
411,2018-12-06,2018-12-21,2018-01-25,,
412,2018-12-06,,2018-01-25,,
413,2018-12-08,2018-12-15,2018-01-29,TFR,
414,2018-12-11,2018-12-20,2018-01-30,,
415,2018-12-12,2018-12-21,2018-01-31,,
416,2018-12-13,2018-12-20,2018-02-01,TFR,
417,2018-12-19,,2018-02-08,,
418,2018-12-22,2018-12-22,2018-02-13,,
