,,,,,,
Date Received,Date Answered,If answered on the last day: time sent,If extened; date extension notice sent,If extension notice sent last allowable day; time sent,Duration of extension (working days),Outcome of Request (FR = Full Release; PR = Partial Release; R = Refusal; T = Transfer)
6/11/17,15/12/17,09:00:00,27/11/17,,14,PR
8/11/17,21/11/17,,,,,FR
9/11/17,9/11/17,,,,,FR
9/11/17,9/11/17,,,,,FR
9/11/17,7/12/17,14:30:00,,,,FR
9/11/17,24/11/17,,,,,FR
9/11/17,5/12/17,,,,,FR
10/11/17,8/12/17,10:09:00,,,,FR
12/11/17,5/12/17,,,,,R
13/11/17,21/12/17,08:09:00,11/12/17,12:10:00,8,FR
13/11/17,11/12/17,,,,,R
13/11/17,28/11/17,,,,,FR
13/11/17,22/11/17,,,,,FR
8/11/17,22/12/17,12:04:00,,,,FR
14/11/17,12/12/17,14:52:00,,,,FR
13/11/17,29/11/17,,,,,PR
15/11/17,23/11/17,,,,,PR
15/11/17,13/12/17,16:39:00,,,,PR
15/11/17,13/12/17,14:53:00,,,,PR
15/11/17,13/12/17,14:53:00,,,,PR
15/11/17,13/12/17,14:54:00,,,,PR
15/11/17,22/11/17,,,,,FR
15/11/17,29/11/17,,,,,FR
16/11/17,28/11/17,,,,,R
16/11/17,18/12/17,,14/12/17,17:11:00,18,FR
16/11/17,1/12/17,,,,,FR
16/11/17,26/01/18,11:16:00,24/11/17,14:19:00,26,PR
17/11/17,29/01/18,,30/11/17,15:42:00,27,FR
17/11/17,15/12/17,11:20:00,,,,FR
17/11/17,11/12/17,,,,,R
20/11/17,11/12/17,,,,,FR
21/11/17,23/11/17,,,,,R
21/11/17,18/12/17,,,,,FR
21/11/17,4/12/17,,,,,FR
22/11/17,19/12/17,,,,,PR
22/11/17,13/12/17,,,,,FR
22/11/17,6/12/17,,,,,PR
15/11/17,15/01/18,,8/12/17,,22,FR
22/11/17,30/01/18,,14/12/17,,27,PR
23/11/17,23/11/17,,,,,R
25/11/17,15/12/17,,,,,R
27/11/17,29/11/17,,,,,T
27/11/17,29/11/17,,,,,T
27/11/17,29/11/17,,,,,T
27/11/17,16/01/18,10:15:00,,,,FR
28/11/17,5/12/17,,,,,T
28/11/17,14/02/18,08:41:00,10/01/18,,18,PR
29/11/17,4/05/18,,,,,FR
29/11/17,12/01/18,,,,,R
30/11/17,15/12/17,,,,,R
29/11/17,4/12/17,,,,,R
29/11/17,16/01/18,,,,,FR
1/12/17,29/01/18,,,,,FR
1/12/17,15/01/18,,,,,FR
30/11/17,19/01/18,14:50:00,,,,R
29/11/17,19/12/17,,,,,PR
4/12/17,23/02/18,15:42:00,18/01/18,,21,PR
30/11/17,20/12/17,,,,,FR
5/12/17,13/12/17,,,,,R
4/12/17,21/12/17,,,,,R
5/12/17,7/02/18,17:03:00,17/01/18,,8,FR
4/12/17,30/01/18,14:23:00,17/01/18,,4,PR
5/12/17,7/12/17,,,,,R
5/12/17,19/12/17,,,,,R
6/12/17,7/12/17,,,,,R
